Term,Estimate,Std Error,Prob > ChiSquare
Intercept,1.6645,0.1650,$<.0001$
case_topic[d_2-z_4],0.0200,0.0456,0.662
case_topic[g_1-z_4],-0.0538,0.0313,0.0857
case_topic[j_1-z_4],-0.0557,0.0213,0.0088
case_topic[q_3-z_4],0.1712,0.0587,0.0035
case_topic[r_2-z_4],0.0836,0.0383,0.0288
case_topic[w_1-z_4],-0.0609,0.0286,0.0334
case_topic[w_2-z_4],0.0119,0.0313,0.7043
case_topic[z_2-z_4],-0.0420,0.0433,0.3319
case_topic[z_3-z_4],0.1637,0.0369,$<.0001$
task_tasksubtype[Email-Task-Reminder],0.0180,0.1158,0.8767
task_tasksubtype[Interaction-Task-Reminder],0.1057,0.1319,0.4229
task_number,0.0420,0.0177,0.0176
resource,0.2171,,
