case_id,case_arrival,burn_in_period,case_arrival_dt,case_assigned,resource,case_topic,initial_delay,est_NPS_priority,est_NPS,est_throughput_time,event_no,activity,activity_start,activity_end,activity_start_dt,activity_end_dt,activity_start_delay,activity_end_delay,duration,duration_delayed,case_status,F_priority_scheme,F_number_of_agents,seed,simulated_NPS,simulated_NPS_priority,simulated_throughput_time
0,1.0091868699359205,False,07/02/2018 00:13:13,1.0104166666666667,0,1,0.3241531300640794,1.05819975957,8.55819975957,0.7512383015347259,1,Interaction,1.33334,1.6593790820105059,01/02/2018 08:00:00,01/02/2018 15:49:30,0.3229233333333333,0,0.326039082010506,0.3229233333333333,closed,NPS,7,42,9,1.1864655798069066,2.084420481684111
0,1.0091868699359205,False,07/02/2018 00:13:13,1.0104166666666667,0,1,0.3241531300640794,1.05819975957,8.55819975957,0.7512383015347259,2,Email,1.6593790820105059,2.071482661044012,01/02/2018 15:49:30,01/03/2018 01:42:56,0.0,0,0.41210357903350603,0.0,closed,NPS,7,42,9,1.1864655798069066,2.084420481684111
0,1.0091868699359205,False,07/02/2018 00:13:13,1.0104166666666667,0,1,0.3241531300640794,1.05819975957,8.55819975957,0.7512383015347259,3,Email,2.33334,2.6529157083870847,01/03/2018 08:00:00,01/03/2018 15:40:11,0.261857338955988,0,0.3195757083870843,0.261857338955988,closed,NPS,7,42,9,1.1864655798069066,2.084420481684111
0,1.0091868699359205,False,07/02/2018 00:13:13,1.0104166666666667,0,1,0.3241531300640794,1.05819975957,8.55819975957,0.7512383015347259,4,END,2.6529157083870847,3.0936073516200318,01/03/2018 15:40:11,01/04/2018 02:14:47,0.0,0,0.44069164323294696,0.0,closed,NPS,7,42,9,1.1864655798069066,2.084420481684111
1,1.1914681346596627,False,07/02/2018 04:35:42,1.197916666666668,1,1,0.14187186534033724,1.0334925980899996,8.53349259809,0.9749389412273891,1,Interaction,1.33334,1.8015018691548486,01/02/2018 08:00:00,01/02/2018 19:14:09,0.13542333333333195,0,0.46816186915484853,0.13542333333333195,closed,NPS,7,42,5,2.0273705338281136,2.500084705492383
1,1.1914681346596627,False,07/02/2018 04:35:42,1.197916666666668,1,1,0.14187186534033724,1.0334925980899996,8.53349259809,0.9749389412273891,2,Interaction,2.3333399999999997,2.7437731573546658,01/03/2018 08:00:00,01/03/2018 17:51:02,0.5318381308451514,0,0.4104331573546661,0.5318381308451514,closed,NPS,7,42,5,2.0273705338281136,2.500084705492383
1,1.1914681346596627,False,07/02/2018 04:35:42,1.197916666666668,1,1,0.14187186534033724,1.0334925980899996,8.53349259809,0.9749389412273891,3,Email,2.7437731573546658,3.0368079373175028,01/03/2018 17:51:02,01/04/2018 00:53:00,0.0,0,0.2930347799628371,0.0,closed,NPS,7,42,5,2.0273705338281136,2.500084705492383
1,1.1914681346596627,False,07/02/2018 04:35:42,1.197916666666668,1,1,0.14187186534033724,1.0334925980899996,8.53349259809,0.9749389412273891,4,END,3.33334,3.691552840152046,01/04/2018 08:00:00,01/04/2018 16:35:50,0.29653206268249727,0,0.3582128401520456,0.29653206268249727,closed,NPS,7,42,5,2.0273705338281136,2.500084705492383
2,1.2967509109346838,False,07/02/2018 07:07:19,1.3020833333333355,2,0,0.036589089065316216,1.0149622269799998,8.51496222698,1.1853948728479524,5,END,3.33334,3.6763262635738676,01/04/2018 08:00:00,01/04/2018 16:13:54,0.2817323501464231,0,0.3429862635738673,0.2817323501464231,closed,NPS,7,42,9,1.193600938417747,2.3795753526391836
2,1.2967509109346838,False,07/02/2018 07:07:19,1.3020833333333355,2,0,0.036589089065316216,1.0149622269799998,8.51496222698,1.1853948728479524,4,Email,2.6891775551079404,3.051607649853577,01/03/2018 16:32:24,01/04/2018 01:14:18,0.0,0,0.36243009474563626,0.0,closed,NPS,7,42,9,1.193600938417747,2.3795753526391836
