day,n_cases_caseDB,n_cases_future_arrival,n_cases_arrived,n_cases_waiting_in_queue,n_cases_in_process,n_cases_assigned_total,n_cases_closed_total,n_agents,n_busy_agents,avg_current_queue_waitingtime,min_current_queue_waitingtime,max_current_queue_waitingtime,median_current_queue_waitingtime,burn_in_period
0,30,30,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,False
1,30,24,6,0,0,0,0,7,0,0.0,0.0,0.0,0.0,False
2,30,21,9,0,0,6,0,7,6,0.0,0.0,0.0,0.0,False
3,30,18,12,1,0,8,1,7,7,0.1015343910277106,0.1015343910277106,0.1015343910277106,0.1015343910277106,False
4,30,15,15,0,0,12,5,7,7,0.0,0.0,0.0,0.0,False
5,30,13,17,0,0,15,8,7,7,0.0,0.0,0.0,0.0,False
6,30,10,20,1,0,16,9,7,7,0.3087989700548368,0.3087989700548368,0.3087989700548368,0.3087989700548368,False
7,30,10,20,4,0,16,9,7,7,0.6633557552979408,0.0936812998382832,1.3087989700548368,0.6254713756493215,False
8,30,7,23,1,0,19,12,7,7,1.9841965626570843,1.9841965626570843,1.9841965626570843,1.9841965626570843,False
9,30,3,27,1,0,22,15,7,7,0.369161587194295,0.369161587194295,0.369161587194295,0.369161587194295,False
