day,n_cases_caseDB,n_cases_future_arrival,n_cases_arrived,n_cases_waiting_in_queue,n_cases_in_process,n_cases_assigned_total,n_cases_closed_total,n_agents,n_busy_agents,avg_current_queue_waitingtime,min_current_queue_waitingtime,max_current_queue_waitingtime,median_current_queue_waitingtime,burn_in_period
0,60,60,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,False
1,60,54,6,0,0,0,0,2,0,0.0,0.0,0.0,0.0,False
2,60,51,9,4,0,2,0,2,2,0.4585171089196728,0.1659283825007262,0.7032490890653162,0.4824454820563243,False
3,60,48,12,5,0,4,2,2,2,0.8608029561303931,0.1015343910277106,1.7032490890653162,0.727150732269199,False
4,60,45,15,8,0,4,2,2,2,1.3832803660025403,0.0176791204454018,2.7032490890653165,1.1679307215290404,False
5,60,43,17,9,0,6,4,2,2,1.9912646371028384,0.491871248659347,3.703249089065317,1.874510096708085,False
6,60,40,20,11,0,6,4,2,2,2.5547923678462525,0.3087989700548368,4.7032490890653165,2.8700389302148697,False
7,60,40,20,14,0,6,4,2,2,2.8890957212461217,0.0936812998382832,5.7032490890653165,2.741240534359493,False
8,60,37,23,14,0,6,4,2,2,3.8890957212461217,1.0936812998382832,6.7032490890653165,3.741240534359493,False
9,60,33,27,16,0,7,5,2,2,4.251975882817073,0.369161587194295,7.703249089065316,4.537090140874146,False
10,60,30,30,20,0,7,5,2,2,4.3363612861375165,0.5514675692144841,8.703249089065316,4.590667156191618,False
11,60,28,32,21,0,9,7,2,2,4.5697228410913,0.4432460441893564,9.703249089065316,4.984196562657084,False
12,60,27,33,23,0,9,7,2,2,5.147990744257244,0.4937523793324203,10.703249089065316,3.694152715619147,False
13,60,26,34,24,0,9,7,2,2,5.913240826550303,0.5139927192906804,11.703249089065316,4.654396870135725,False
14,60,26,34,25,0,9,7,2,2,6.655007223789341,0.4574007575262406,12.703249089065316,5.614641024652302,False
15,60,26,34,24,0,10,8,2,2,7.586099234361612,1.4574007575262409,13.703249089065316,6.491901305923299,False
16,60,26,34,23,0,11,9,2,2,8.639009566847148,2.4574007575262407,14.703249089065316,7.614641024652302,False
17,60,23,37,23,0,11,9,2,2,9.639009566847148,3.4574007575262407,15.703249089065316,8.614641024652302,False
18,60,22,38,26,0,11,9,2,2,9.501387151192654,0.7389229494266445,16.703249089065316,8.771941363329093,False
19,60,22,38,26,0,12,10,2,2,10.200935025691871,0.6314907811690489,17.703249089065316,9.771941363329091,False
20,60,20,40,25,0,13,11,2,2,11.390676396418495,1.6314907811690489,18.70324908906532,10.778565292465474,False
21,60,19,41,27,0,13,11,2,2,11.506852159609592,0.1864615644609486,19.70324908906532,11.765317434192712,False
22,60,16,44,27,0,14,12,2,2,12.48330945591671,0.5508085647531971,20.70324908906532,12.765317434192712,False
23,60,7,53,29,0,15,13,2,2,11.96682102430396,0.0679845998014201,21.70324908906532,13.551467569214484,False
24,60,5,55,38,0,15,13,2,2,10.05256165654486,0.3829115863395529,22.70324908906532,12.00387254931155,False
25,60,4,56,39,0,16,14,2,2,10.73515718765848,0.0648344085720928,23.70324908906532,12.51399271929068,False
26,60,3,57,40,0,16,14,2,2,11.44958460356711,0.3122538240037009,24.70324908906532,11.168020477221043,False
27,60,0,60,39,0,18,16,2,2,12.700001322714003,0.6937556757375027,25.70324908906532,14.51399271929068,False
28,60,0,60,42,0,18,16,2,2,12.768895381927043,0.5761841517098709,26.70324908906532,10.799961472048969,False
29,60,0,60,42,0,18,16,2,2,13.768895381927043,1.576184151709871,27.70324908906532,11.799961472048969,False
