theta_idx,agent_idx,arrival_q,est_throughputtime,est_NPS,est_NPS_priority,case_currently_arrived,case_currently_assigned,case_queued,status,queue_order,casedb_idx
17,0,6.015803437342916,0.7499611017939336,8.55836103347,1.0583610334699998,True,False,False,closed,0,0
44,0,23.003436774551933,0.7509826878578796,8.55823201435,1.0582320143500006,True,False,False,closed,1,1
0,0,1.0091868699359205,0.7512383015347259,8.55819975957,1.05819975957,True,False,False,closed,2,2
30,1,11.054144924333126,0.8010074903511512,8.55211973354,1.0521197335399997,True,False,False,closed,3,3
41,0,22.078178339483543,0.8018256435118184,8.5520229692,1.0520229691999994,True,False,False,open,4,4
12,1,4.099827964369958,0.8549431250951786,8.54594294317,1.0459429431699991,True,False,False,closed,5,5
15,0,5.1274646576716005,0.9121969203301914,8.53979840758,1.0397984075799993,True,False,False,closed,6,6
10,0,3.1299610697851303,0.9128178975665663,8.53973389802,1.0397338980199997,True,False,False,closed,7,7
9,1,3.125489903291915,0.9128178975665663,8.53973389802,1.0397338980199997,True,False,False,closed,8,8
34,0,17.17795176484859,0.9742757360404487,8.53355710765,1.0335571076499992,True,False,False,closed,9,9
45,1,23.185312932852028,0.9746072822614785,8.53352485287,1.0335248528700003,True,False,False,open,10,10
1,1,1.1914681346596627,0.9749389412273891,8.53349259809,1.0334925980899996,True,False,False,closed,11,11
57,,27.22492185456313,1.0388074049462221,8.527477081619999,1.027477081619999,True,False,True,open,12,12
35,1,17.222125291053473,1.039868237765361,8.52738031728,1.0273803172800005,True,False,False,closed,13,13
24,0,9.234682565807288,1.0402220892286538,8.5273480625,1.0273480624999998,True,False,False,closed,14,14
23,0,9.221434707534526,1.0402220892286538,8.5273480625,1.0273480624999998,True,False,False,closed,15,15
38,1,20.268363165464397,1.108741366224201,8.521300291249998,1.0213002912499984,True,False,False,closed,16,16
27,,10.254229918474904,1.109873568075862,8.52120352691,1.02120352691,True,False,True,open,17,17
36,,17.261077050573356,1.109873568075862,8.52120352691,1.02120352691,True,False,True,open,18,18
6,,2.272849267730801,1.110251225398227,8.52117127213,1.0211712721299993,True,False,True,open,19,19
46,,23.27499050565763,1.110251225398227,8.52117127213,1.0211712721299993,True,False,True,open,20,20
56,,26.306244324262497,1.1837828877747472,8.515091246099999,1.015091246099999,True,False,True,open,21,21
53,,24.323062438794633,1.1845886062738937,8.51502673654,1.0150267365399994,True,False,True,open,22,22
48,,23.314608904881492,1.1849916710282649,8.514994481759999,1.0149944817599987,True,False,True,open,23,23
47,,23.29291992236651,1.1849916710282649,8.514994481759999,1.0149944817599987,True,False,True,open,24,24
2,0,1.2967509109346838,1.1853948728479524,8.51496222698,1.0149622269799998,True,False,False,closed,25,25
20,,8.305847284380853,1.1853948728479524,8.51496222698,1.0149622269799998,True,False,True,open,26,26
58,,27.357707842057025,1.263040537337611,8.50894671051,1.0089467105099992,True,False,True,open,27,27
37,,18.36850921883095,1.2639001693669918,8.50888220095,1.0088822009499996,True,False,True,open,28,28
49,,23.374236510090594,1.2647603861449352,8.50881769139,1.00881769139,True,False,True,open,29,29
50,,23.385628769113378,1.3498956547097238,8.50264090102,1.0026409010199995,True,False,True,open,30,30
25,,9.39973869819551,1.3498956547097238,8.50264090102,1.0026409010199995,True,False,True,open,31,31
21,,8.385358975347698,1.350354933416394,8.502608646239999,1.0026086462399988,True,False,True,open,32,32
40,,21.449191435246803,1.4383101308988955,8.49662538455,0.9966253845500006,True,False,True,open,33,33
59,,27.42381584829013,1.4387994756384057,8.49659312977,0.9965931297699999,True,False,True,open,34,34
13,,4.417690966911055,1.4397786643905104,8.496528620209999,0.9965286202099986,True,False,True,open,35,35
28,,10.450988944875542,1.4402685085162885,8.49649636543,0.9964963654299996,True,False,True,open,36,36
26,,9.448532430785516,1.440758519217396,8.496464110649999,0.996464110649999,True,False,True,open,37,37
32,,12.48600728070932,1.536165914495906,8.490384084619999,0.9903840846199987,True,False,True,open,38,38
3,1,1.4622464837406306,1.5382574665170585,8.4902550655,0.9902550654999995,True,False,False,closed,39,39
14,,4.508128751340653,1.6401181563800895,8.48417503947,0.9841750394699993,True,False,True,open,40,40
31,,11.50624762066758,1.6401181563800895,8.48417503947,0.9841750394699993,True,False,True,open,41,41
42,,22.50948061659488,1.6417926390739217,8.484078275129999,0.984078275129999,True,False,True,open,42,42
33,,13.54259924247376,1.7493157397006056,8.47806275866,0.9780627586600001,True,False,True,open,43,43
29,,10.556753955810644,1.7511016607533259,8.47796599432,0.9779659943199999,True,False,True,open,44,44
4,,1.5728625521467208,1.7522932872119432,8.47790148476,0.9779014847600003,True,False,True,open,45,45
51,,23.592244022936185,1.8695920176682952,8.47175694917,0.9717569491700004,True,False,True,open,46,46
52,,23.617088413660447,1.8695920176682952,8.47175694917,0.9717569491700004,True,False,True,open,47,47
22,,8.630838412805705,1.996096985781539,8.46554790402,0.9655479040199992,True,False,True,open,48,48
16,,5.691201029945163,2.1275375967085215,8.45950013277,0.9595001327699997,True,False,True,open,49,49
55,,25.6877461759963,2.128261318628271,8.459467877989999,0.959467877989999,True,False,True,open,50,50
18,,6.733253811358441,2.2699452770565536,8.45335559718,0.9533555971799998,True,False,True,open,51,51
7,,2.76567294796963,2.426003851333436,8.44704978769,0.9470497876900001,True,False,True,open,52,52
39,,20.81353843553905,2.5857434724597215,8.441002016439999,0.9410020164399988,True,False,True,open,53,53
5,,1.8340716174992737,2.764446497987486,8.43466395217,0.9346639521700002,True,False,True,open,54,54
19,,6.906318700161717,2.945462550280101,8.4286484357,0.9286484356999996,True,False,True,open,55,55
8,,2.8984656089722893,2.949472049634485,8.428519416579999,0.9285194165799986,True,False,True,open,56,56
54,,24.935165591427907,3.1468783281503665,8.42237488099,0.9223748809900005,True,False,True,open,57,57
43,,22.93201540019858,3.1490194055195424,8.42231037143,0.9223103714299992,True,False,True,open,58,58
11,,3.982320879554598,3.35863575073434,8.41619809062,0.91619809062,True,False,True,open,59,59
