day,n_cases_caseDB,n_cases_future_arrival,n_cases_arrived,n_cases_waiting_in_queue,n_cases_in_process,n_cases_assigned_total,n_cases_closed_total,n_agents,n_busy_agents,avg_current_queue_waitingtime,min_current_queue_waitingtime,max_current_queue_waitingtime,median_current_queue_waitingtime,burn_in_period
0,60,60,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,False
1,60,54,6,0,0,0,0,2,0,0.0,0.0,0.0,0.0,False
2,60,51,9,4,0,2,0,2,2,0.4585171089196728,0.1659283825007262,0.7032490890653162,0.4824454820563243,False
3,60,48,12,5,0,4,2,2,2,0.731215601136257,0.1015343910277106,1.4271374478532792,0.727150732269199,False
4,60,45,15,8,0,4,2,2,2,1.3022882691312052,0.0176791204454018,2.427137447853279,1.1679307215290404,False
5,60,43,17,9,0,6,4,2,2,1.8497899381672245,0.491871248659347,3.427137447853279,2.1015343910277107,False
6,60,40,20,11,0,6,4,2,2,2.439040341444387,0.3087989700548368,4.427137447853279,2.017679120445402,False
7,60,40,20,14,0,6,4,2,2,2.7981477005017985,0.0936812998382832,5.427137447853279,2.741240534359493,False
8,60,37,23,14,0,6,4,2,2,3.798147700501798,1.0936812998382832,6.427137447853279,3.741240534359493,False
9,60,33,27,16,0,7,5,2,2,4.116739160739615,0.369161587194295,7.427137447853279,4.537090140874146,False
10,60,30,30,20,0,7,5,2,2,4.228171908475551,0.5514675692144841,8.42713744785328,4.590667156191618,False
11,60,28,32,21,0,9,7,2,2,4.45375037963769,0.4432460441893564,9.42713744785328,4.093681299838283,False
12,60,27,33,23,0,9,7,2,2,5.042102844669164,0.4937523793324203,10.42713744785328,3.694152715619147,False
13,60,26,34,24,0,9,7,2,2,5.811764922778394,0.5139927192906804,11.42713744785328,4.654396870135725,False
14,60,26,34,25,0,9,7,2,2,6.557590356168308,0.4574007575262406,12.42713744785328,5.614641024652302,False
15,60,26,34,24,0,10,8,2,2,7.7080793261892,1.4574007575262409,13.42713744785328,6.654396870135725,False
16,60,26,34,23,0,11,9,2,2,8.792547234536874,2.4574007575262407,14.42713744785328,7.694152715619147,False
17,60,23,37,23,0,11,9,2,2,9.792547234536876,3.4574007575262407,15.42713744785328,8.694152715619147,False
18,60,22,38,26,0,11,9,2,2,9.63720893414895,0.7389229494266445,16.42713744785328,9.4919013059233,False
19,60,22,38,26,0,12,10,2,2,10.591418262841936,0.6314907811690489,17.42713744785328,10.4919013059233,False
20,60,20,40,25,0,13,11,2,2,11.943960004997752,1.6314907811690489,18.42713744785328,11.614641024652302,False
21,60,19,41,27,0,13,11,2,2,12.019151797182976,0.1864615644609486,19.42713744785328,12.369161587194297,False
22,60,16,44,27,0,14,12,2,2,12.566271918378815,0.5508085647531971,20.42713744785328,13.369161587194297,False
23,60,7,53,29,0,15,13,2,2,12.587518296738464,0.0679845998014201,21.42713744785328,13.60026130180449,False
24,60,5,55,38,0,15,13,2,2,10.526251680244878,0.3829115863395529,22.42713744785328,12.96849921176089,False
25,60,4,56,39,0,16,14,2,2,11.198532630606016,0.0648344085720928,23.42713744785328,13.49375237933242,False
26,60,3,57,40,0,16,14,2,2,11.90137566044096,0.3122538240037009,24.42713744785328,14.00387254931155,False
27,60,0,60,39,0,18,16,2,2,13.025955727325936,0.6937556757375027,25.42713744785328,15.49375237933242,False
28,60,0,60,42,0,18,16,2,2,13.071567329066696,0.5761841517098709,26.42713744785328,14.98569673840846,False
29,60,0,60,42,0,18,16,2,2,14.071567329066696,1.576184151709871,27.42713744785328,15.98569673840846,False
